GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US76226,76226,ZCTA5 76226,25037,1009,23019,931,21272,1093,329,179,15,18,747,333,80,93,198,305,378,207,0,25,378,207,2018,356,1621,323,0,25,18,20,21,33,0,25,252,150,106,94,99,93,7,11
8600000US76227,76227,ZCTA5 76227,29616,944,25692,1026,21518,1032,2953,782,92,92,308,236,0,25,136,164,685,250,10,13,675,246,3924,474,2914,553,0,25,0,25,0,25,0,25,927,383,83,57,60,48,23,29
8600000US76228,76228,ZCTA5 76228,1027,174,998,167,924,158,0,13,36,34,0,13,0,13,0,13,38,32,6,8,32,28,29,34,29,34,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76230,76230,ZCTA5 76230,9538,526,8423,474,8127,483,3,6,14,24,0,19,0,19,0,19,279,121,0,19,279,121,1115,279,1015,282,0,19,0,19,0,19,0,19,64,70,36,56,0,19,36,56
8600000US76233,76233,ZCTA5 76233,3490,606,3221,571,3101,558,21,26,13,19,13,19,5,8,0,13,68,57,0,13,68,57,269,183,262,180,0,13,0,13,0,13,0,13,0,13,7,12,0,13,7,12
8600000US76234,76234,ZCTA5 76234,15341,624,12593,742,12048,711,85,63,46,42,147,124,0,21,0,21,267,117,12,21,255,112,2748,662,2255,594,0,21,0,21,0,21,0,21,493,308,0,21,0,21,0,21
8600000US76238,76238,ZCTA5 76238,400,155,367,140,363,141,0,13,0,13,0,13,0,13,0,13,4,6,0,13,4,6,33,51,33,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76239,76239,ZCTA5 76239,1263,248,1233,246,1176,233,0,13,4,6,5,8,0,13,0,13,48,58,0,13,48,58,30,37,26,37,0,13,0,13,0,13,0,13,4,6,0,13,0,13,0,13
8600000US76240,76240,ZCTA5 76240,27123,718,21338,736,19220,721,956,182,212,87,286,52,60,76,0,25,604,202,0,25,604,202,5785,324,5044,355,6,12,23,24,0,25,0,25,396,101,316,187,44,47,272,182
8600000US76244,76244,ZCTA5 76244,74414,2518,61819,2377,46239,2437,6016,889,98,158,5435,1004,0,31,12,19,4019,1303,10,16,4009,1303,12595,1554,9512,1586,325,282,74,132,0,31,0,31,1999,647,685,320,448,285,237,131
8600000US76245,76245,ZCTA5 76245,1869,355,1809,364,1728,363,0,13,0,13,53,74,0,13,0,13,28,34,0,13,28,34,60,57,60,57,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76247,76247,ZCTA5 76247,14009,858,11938,746,11036,732,366,178,94,73,49,41,0,21,3,5,390,230,184,235,206,115,2071,543,1713,561,0,21,0,21,0,21,0,21,336,240,22,21,22,21,0,21
8600000US76248,76248,ZCTA5 76248,39131,640,35682,835,31366,1030,657,280,154,100,2237,612,0,28,49,59,1219,339,257,191,962,275,3449,544,2425,468,22,26,0,28,0,28,0,28,661,311,341,241,202,195,139,131
8600000US76249,76249,ZCTA5 76249,8516,605,6798,614,6458,644,18,25,57,75,28,32,0,19,0,19,237,210,0,19,237,210,1718,538,1563,543,0,19,0,19,0,19,0,19,85,73,70,59,49,51,21,31
8600000US76250,76250,ZCTA5 76250,1011,174,1004,177,946,170,0,13,0,13,33,37,0,13,25,45,0,13,0,13,0,13,7,11,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76251,76251,ZCTA5 76251,658,134,584,132,571,128,9,11,4,7,0,13,0,13,0,13,0,13,0,13,0,13,74,33,53,28,0,13,0,13,0,13,0,13,21,19,0,13,0,13,0,13
8600000US76252,76252,ZCTA5 76252,2622,256,2438,245,2362,240,20,22,0,13,0,13,0,13,0,13,56,45,0,13,56,45,184,119,159,118,0,13,0,13,0,13,0,13,25,26,0,13,0,13,0,13
8600000US76253,76253,ZCTA5 76253,313,147,288,141,277,137,0,13,0,13,0,13,0,13,0,13,11,15,0,13,11,15,25,24,25,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76255,76255,ZCTA5 76255,5369,302,4776,306,4631,311,18,27,10,19,0,19,0,19,0,19,117,95,0,19,117,95,593,169,431,162,0,19,0,19,3,6,0,19,110,99,49,48,36,49,13,16
8600000US76258,76258,ZCTA5 76258,6820,523,5059,694,4828,711,48,43,28,43,0,19,0,19,23,35,132,130,46,70,86,107,1761,633,1449,694,0,19,91,144,0,19,0,19,221,299,0,19,0,19,0,19
8600000US76259,76259,ZCTA5 76259,4890,833,4113,621,3670,578,226,152,41,48,109,99,0,13,0,13,67,50,0,13,67,50,777,548,720,552,21,34,0,13,0,13,0,13,36,38,0,13,0,13,0,13
8600000US76261,76261,ZCTA5 76261,310,112,283,108,253,101,0,13,12,14,0,13,0,13,0,13,18,26,0,13,18,26,27,25,27,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76262,76262,ZCTA5 76262,34422,1310,30295,1328,26797,1295,1246,507,47,43,1297,346,54,87,8,14,846,296,273,266,573,187,4127,709,3029,785,0,28,14,23,0,28,0,28,857,422,227,109,123,90,104,72
8600000US76263,76263,ZCTA5 76263,58,50,58,50,58,50,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US76264,76264,ZCTA5 76264,1541,385,1483,374,1437,365,0,13,26,35,0,13,1,3,0,13,19,19,0,13,19,19,58,71,18,31,0,13,0,13,12,19,0,13,0,13,28,46,0,13,28,46
8600000US76265,76265,ZCTA5 76265,1806,287,1736,268,1672,261,14,21,10,16,19,31,0,13,0,13,21,28,0,13,21,28,70,88,70,88,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
