GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US73430,73430,ZCTA5 73430,1279,184,1252,191,1145,191,0,10,49,31,5,10,0,10,0,10,53,59,0,10,53,59,27,40,0,10,0,10,27,40,0,10,0,10,0,10,0,10,0,10,0,10
8600000US73931,73931,ZCTA5 73931,682,120,638,111,638,111,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,44,51,42,50,0,10,0,10,0,10,0,10,2,5,0,10,0,10,0,10
8600000US73949,73949,ZCTA5 73949,1571,212,1056,170,1052,169,0,12,0,12,2,3,0,12,0,12,2,3,0,12,2,3,515,163,137,71,0,12,0,12,0,12,0,12,378,148,0,12,0,12,0,12
8600000US75001,75001,ZCTA5 75001,13214,328,9542,746,6703,683,1728,456,33,39,960,346,18,33,0,20,100,69,26,41,74,61,3672,750,2751,761,20,25,47,69,38,48,0,20,693,293,123,102,60,67,63,77
8600000US75002,75002,ZCTA5 75002,65900,902,57469,1249,42726,1606,7657,1061,189,159,5224,931,124,130,101,105,1448,492,85,80,1363,484,8431,1080,5915,910,184,139,0,30,72,102,0,30,1552,631,708,493,619,480,89,99
8600000US75006,75006,ZCTA5 75006,47590,371,25046,981,17616,934,3341,580,133,80,3546,570,0,27,80,109,330,165,17,25,313,164,22544,1036,17971,1127,156,150,214,229,49,56,0,27,3769,852,385,212,291,202,94,80
8600000US75007,75007,ZCTA5 75007,51405,1028,39115,1094,25874,1048,4299,663,183,98,7167,733,21,33,51,43,1520,371,8,14,1512,368,12290,897,9924,976,81,87,319,177,63,92,0,30,1133,426,770,309,278,136,492,297
8600000US75009,75009,ZCTA5 75009,8975,618,7271,648,6861,649,168,188,137,135,14,23,0,18,0,18,91,99,15,24,76,95,1704,417,880,360,0,18,0,18,0,18,0,18,657,376,167,156,108,129,59,99
8600000US75010,75010,ZCTA5 75010,24035,1002,20723,1049,10059,1010,3635,948,122,115,6308,864,51,81,0,24,548,270,24,35,524,266,3312,634,2226,627,212,258,0,24,53,86,0,24,601,385,220,204,140,193,80,76
8600000US75013,75013,ZCTA5 75013,31388,861,29248,901,21278,970,863,384,276,200,5745,650,16,25,177,206,893,365,30,48,863,363,2140,548,1842,500,48,78,23,37,42,52,0,27,51,60,134,146,42,71,92,130
8600000US75019,75019,ZCTA5 75019,39551,404,35126,735,25061,886,1745,452,144,117,7353,610,0,27,36,42,787,247,60,90,727,244,4425,678,3598,536,24,37,0,27,32,37,0,27,663,411,108,76,67,56,41,52
8600000US75020,75020,ZCTA5 75020,22343,562,20499,584,17912,744,1560,307,290,154,87,69,51,70,154,147,445,162,0,24,445,162,1844,471,1085,334,13,16,0,24,0,24,0,24,590,291,156,140,156,140,0,24
8600000US75021,75021,ZCTA5 75021,8306,583,7773,612,6742,602,243,172,292,135,141,98,0,18,0,18,355,163,0,18,355,163,533,211,408,193,0,18,0,18,0,18,0,18,100,111,25,43,0,18,25,43
8600000US75022,75022,ZCTA5 75022,22884,766,20704,717,17537,818,452,272,75,89,2309,317,0,24,5,7,326,165,38,66,288,157,2180,632,1766,427,35,54,9,14,0,24,0,24,11,22,359,458,282,445,77,115
8600000US75023,75023,ZCTA5 75023,46733,927,39684,1166,28794,1079,3613,674,239,166,5689,879,15,21,62,53,1272,321,49,50,1223,322,7049,897,6232,853,31,32,0,27,22,35,0,27,611,335,153,89,93,74,60,51
8600000US75024,75024,ZCTA5 75024,38889,1252,36064,1316,20298,1316,2482,683,183,111,12319,1209,31,37,73,71,678,254,63,67,615,247,2825,546,2313,581,0,27,13,21,15,25,0,27,343,168,141,115,74,75,67,92
8600000US75025,75025,ZCTA5 75025,51924,1151,48690,1154,29477,1222,3705,844,100,81,14179,981,60,83,108,100,1061,292,170,137,891,263,3234,487,2491,453,17,26,70,110,82,77,0,30,409,197,165,117,98,90,67,70
8600000US75028,75028,ZCTA5 75028,43753,678,40198,827,34798,978,1681,537,233,100,2666,514,12,17,184,200,624,173,0,27,624,173,3555,539,2956,447,18,24,34,36,69,90,40,59,213,132,225,133,158,95,67,74
8600000US75032,75032,ZCTA5 75032,29965,1062,24256,951,22094,916,1363,286,8,14,409,256,0,24,0,24,382,232,59,81,323,214,5709,764,5262,808,0,24,20,28,50,62,0,24,222,157,155,128,124,116,31,52
8600000US75034,75034,ZCTA5 75034,75490,1249,65063,1228,50924,1295,5176,790,283,156,6842,788,7,11,131,115,1700,513,68,71,1632,511,10427,1552,8669,1584,66,68,42,38,93,113,0,30,986,463,571,249,434,218,137,111
8600000US75035,75035,ZCTA5 75035,51444,1029,45017,1213,32899,1249,3893,579,88,73,5914,892,29,59,303,209,1891,551,50,59,1841,547,6427,905,4841,861,20,31,15,29,52,56,0,30,869,323,630,333,248,140,382,292
